timestamp,page,full_page_calls,poly_calls,total_calls,cost_usd
2026-06-20T04:56:04,Volume_1/1_source_pages/page_031,1,6,7,0.0105
2026-06-20T04:56:07,Volume_1/1_source_pages/page_027,1,15,16,0.0240
2026-06-20T04:56:09,Volume_1/1_source_pages/page_032,1,6,7,0.0105
2026-06-20T04:56:09,Volume_1/1_source_pages/page_025,1,16,17,0.0255
2026-06-20T04:56:10,Volume_1/1_source_pages/page_034,1,4,5,0.0075
2026-06-20T04:56:15,Volume_1/1_source_pages/page_036,1,4,5,0.0075
2026-06-20T04:56:16,Volume_1/1_source_pages/page_033,1,7,8,0.0120
2026-06-20T04:56:19,Volume_1/1_source_pages/page_037,1,4,5,0.0075
2026-06-20T04:56:25,Volume_1/1_source_pages/page_039,1,6,7,0.0105
2026-06-20T04:56:25,Volume_1/1_source_pages/page_043,1,4,5,0.0075
2026-06-20T04:56:25,Volume_1/1_source_pages/page_041,1,4,5,0.0075
2026-06-20T04:56:26,Volume_1/1_source_pages/page_040,1,6,7,0.0105
2026-06-20T04:56:29,Volume_1/1_source_pages/page_042,1,5,6,0.0090
2026-06-20T04:56:30,Volume_1/1_source_pages/page_044,1,4,5,0.0075
2026-06-20T04:56:34,Volume_1/1_source_pages/page_046,1,4,5,0.0075
2026-06-20T04:56:37,Volume_1/1_source_pages/page_045,1,4,5,0.0075
2026-06-20T04:56:38,Volume_1/1_source_pages/page_047,1,6,7,0.0105
2026-06-20T04:56:45,Volume_1/1_source_pages/page_048,1,6,7,0.0105
2026-06-20T04:56:47,Volume_1/0_table_of_contents/page_005,1,64,65,0.0975
2026-06-20T04:56:50,Volume_1/1_source_pages/page_035,1,20,21,0.0315
2026-06-20T04:56:51,Volume_1/1_source_pages/page_051,1,4,5,0.0075
2026-06-20T04:56:51,Volume_1/1_source_pages/page_052,1,4,5,0.0075
2026-06-20T04:56:55,Volume_1/1_source_pages/page_050,1,6,7,0.0105
2026-06-20T04:56:56,Volume_1/1_source_pages/page_049,1,8,9,0.0135
2026-06-20T04:56:59,Volume_1/1_source_pages/page_038,1,22,23,0.0345
2026-06-20T04:57:01,Volume_1/1_source_pages/page_054,1,8,9,0.0135
2026-06-20T04:57:02,Volume_1/1_source_pages/page_055,1,7,8,0.0120
2026-06-20T04:57:04,Volume_1/1_source_pages/page_059,1,5,6,0.0090
2026-06-20T04:57:05,Volume_1/1_source_pages/page_053,1,5,6,0.0090
2026-06-20T04:57:06,Volume_1/1_source_pages/page_058,1,6,7,0.0105
2026-06-20T04:57:06,Volume_1/1_source_pages/page_056,1,6,7,0.0105
2026-06-20T04:57:14,Volume_1/1_source_pages/page_057,1,7,8,0.0120
2026-06-20T04:57:16,Volume_1/1_source_pages/page_063,1,6,7,0.0105
2026-06-20T04:57:17,Volume_1/1_source_pages/page_062,1,8,9,0.0135
2026-06-20T04:57:19,Volume_1/1_source_pages/page_060,1,9,10,0.0150
2026-06-20T04:57:26,Volume_1/1_source_pages/page_064,1,10,11,0.0165
2026-06-20T04:57:28,Volume_1/1_source_pages/page_061,1,12,13,0.0195
2026-06-20T04:57:29,Volume_1/1_source_pages/page_065,1,8,9,0.0135
2026-06-20T04:57:31,Volume_1/1_source_pages/page_069,1,9,10,0.0150
2026-06-20T04:57:32,Volume_1/1_source_pages/page_067,1,10,11,0.0165
2026-06-20T04:57:34,Volume_1/1_source_pages/page_068,1,10,11,0.0165
2026-06-20T04:57:36,Volume_1/1_source_pages/page_072,1,6,7,0.0105
2026-06-20T04:57:36,Volume_1/1_source_pages/page_066,1,12,13,0.0195
2026-06-20T04:57:42,Volume_1/0_table_of_contents/page_002,1,89,90,0.1350
2026-06-20T04:57:43,Volume_1/1_source_pages/page_075,1,8,9,0.0135
2026-06-20T04:57:47,Volume_1/1_source_pages/page_073,1,11,12,0.0180
2026-06-20T04:57:49,Volume_1/1_source_pages/page_074,1,10,11,0.0165
2026-06-20T04:57:57,Volume_1/0_table_of_contents/page_003,1,96,97,0.1455
2026-06-20T04:57:58,Volume_1/1_source_pages/page_079,1,6,7,0.0105
2026-06-20T04:58:00,Volume_1/1_source_pages/page_081,1,4,5,0.0075
2026-06-20T04:58:00,Volume_1/1_source_pages/page_071,1,21,22,0.0330
2026-06-20T04:58:00,Volume_1/1_source_pages/page_082,1,4,5,0.0075
2026-06-20T04:58:00,Volume_1/1_source_pages/page_080,1,4,5,0.0075
2026-06-20T04:58:02,Volume_1/1_source_pages/page_083,1,7,8,0.0120
2026-06-20T04:58:03,Volume_1/1_source_pages/page_085,1,4,5,0.0075
2026-06-20T04:58:05,Volume_1/1_source_pages/page_084,1,5,6,0.0090
2026-06-20T04:58:05,Volume_1/1_source_pages/page_077,1,12,13,0.0195
2026-06-20T04:58:05,Volume_1/1_source_pages/page_070,1,23,24,0.0360
2026-06-20T04:58:09,Volume_1/1_source_pages/page_078,1,13,14,0.0210
2026-06-20T04:58:11,Volume_1/1_source_pages/page_086,1,7,8,0.0120
2026-06-20T04:58:18,Volume_1/1_source_pages/page_076,1,14,15,0.0225
2026-06-20T04:58:20,Volume_1/1_source_pages/page_087,1,8,9,0.0135
2026-06-20T04:58:24,Volume_1/1_source_pages/page_091,1,7,8,0.0120
2026-06-20T04:58:24,Volume_1/1_source_pages/page_098,1,5,6,0.0090
2026-06-20T04:58:26,Volume_1/1_source_pages/page_096,1,6,7,0.0105
2026-06-20T04:58:27,Volume_1/1_source_pages/page_088,1,7,8,0.0120
2026-06-20T04:58:27,Volume_1/1_source_pages/page_097,1,5,6,0.0090
2026-06-20T04:58:28,Volume_1/1_source_pages/page_099,1,4,5,0.0075
2026-06-20T04:58:30,Volume_1/1_source_pages/page_095,1,7,8,0.0120
2026-06-20T04:58:32,Volume_1/1_source_pages/page_092,1,12,13,0.0195
2026-06-20T04:58:32,Volume_1/1_source_pages/page_089,1,11,12,0.0180
2026-06-20T04:58:33,Volume_1/1_source_pages/page_100,1,7,8,0.0120
2026-06-20T04:58:35,Volume_1/1_source_pages/page_094,1,12,13,0.0195
2026-06-20T04:58:35,Volume_1/1_source_pages/page_093,1,12,13,0.0195
2026-06-20T04:58:35,Volume_1/1_source_pages/page_090,1,13,14,0.0210
2026-06-20T04:58:45,Volume_1/1_source_pages/page_103,1,7,8,0.0120
2026-06-20T04:58:47,Volume_1/1_source_pages/page_101,1,9,10,0.0150
2026-06-20T04:58:48,Volume_1/1_source_pages/page_106,1,6,7,0.0105
2026-06-20T04:58:54,Volume_1/1_source_pages/page_102,1,12,13,0.0195
2026-06-20T04:58:56,Volume_1/1_source_pages/page_107,1,9,10,0.0150
2026-06-20T04:58:57,Volume_1/1_source_pages/page_105,1,9,10,0.0150
2026-06-20T04:58:59,Volume_1/1_source_pages/page_110,1,9,10,0.0150
2026-06-20T04:58:59,Volume_1/1_source_pages/page_113,1,8,9,0.0135
2026-06-20T04:59:00,Volume_1/1_source_pages/page_115,1,8,9,0.0135
2026-06-20T04:59:01,Volume_1/1_source_pages/page_112,1,8,9,0.0135
2026-06-20T04:59:03,Volume_1/1_source_pages/page_111,1,10,11,0.0165
2026-06-20T04:59:03,Volume_1/1_source_pages/page_109,1,11,12,0.0180
2026-06-20T04:59:05,Volume_1/1_source_pages/page_104,1,12,13,0.0195
2026-06-20T04:59:06,Volume_1/0_table_of_contents/page_004,1,123,124,0.1860
2026-06-20T04:59:06,Volume_1/1_source_pages/page_114,1,11,12,0.0180
2026-06-20T04:59:12,Volume_1/1_source_pages/page_108,1,16,17,0.0255
2026-06-20T04:59:12,Volume_1/1_source_pages/page_117,1,8,9,0.0135
2026-06-20T04:59:12,Volume_1/1_source_pages/page_116,1,9,10,0.0150
2026-06-20T04:59:17,Volume_1/1_source_pages/page_119,1,6,7,0.0105
2026-06-20T04:59:18,Volume_1/1_source_pages/page_118,1,8,9,0.0135
2026-06-20T04:59:20,Volume_1/1_source_pages/page_122,1,6,7,0.0105
2026-06-20T04:59:22,Volume_1/1_source_pages/page_121,1,9,10,0.0150
2026-06-20T04:59:23,Volume_1/1_source_pages/page_124,1,7,8,0.0120
2026-06-20T04:59:23,Volume_1/1_source_pages/page_126,1,5,6,0.0090
2026-06-20T04:59:24,Volume_1/1_source_pages/page_123,1,8,9,0.0135
2026-06-20T04:59:28,Volume_1/1_source_pages/page_127,1,8,9,0.0135
2026-06-20T04:59:30,Volume_1/1_source_pages/page_131,1,5,6,0.0090
2026-06-20T04:59:31,Volume_1/1_source_pages/page_120,1,13,14,0.0210
2026-06-20T04:59:32,Volume_1/1_source_pages/page_125,1,9,10,0.0150
2026-06-20T04:59:32,Volume_1/1_source_pages/page_129,1,8,9,0.0135
2026-06-20T04:59:45,Volume_1/1_source_pages/page_128,1,10,11,0.0165
2026-06-20T04:59:46,Volume_1/1_source_pages/page_137,1,4,5,0.0075
2026-06-20T04:59:48,Volume_1/1_source_pages/page_141,1,4,5,0.0075
2026-06-20T04:59:49,Volume_1/1_source_pages/page_138,1,6,7,0.0105
2026-06-20T04:59:51,Volume_1/1_source_pages/page_130,1,10,11,0.0165
2026-06-20T04:59:54,Volume_1/1_source_pages/page_132,1,12,13,0.0195
2026-06-20T04:59:55,Volume_1/1_source_pages/page_136,1,9,10,0.0150
2026-06-20T04:59:55,Volume_1/1_source_pages/page_135,1,9,10,0.0150
2026-06-20T05:00:00,Volume_1/1_source_pages/page_133,1,12,13,0.0195
2026-06-20T05:00:00,Volume_1/1_source_pages/page_142,1,4,5,0.0075
2026-06-20T05:00:00,Volume_1/1_source_pages/page_145,1,8,9,0.0135
2026-06-20T05:00:01,Volume_1/1_source_pages/page_140,1,9,10,0.0150
2026-06-20T05:00:02,Volume_1/1_source_pages/page_134,1,14,15,0.0225
2026-06-20T05:00:04,Volume_1/1_source_pages/page_139,1,11,12,0.0180
2026-06-20T05:00:07,Volume_1/1_source_pages/page_143,1,9,10,0.0150
2026-06-20T05:00:08,Volume_1/1_source_pages/page_144,1,10,11,0.0165
2026-06-20T05:00:10,Volume_1/1_source_pages/page_148,1,4,5,0.0075
2026-06-20T05:00:12,Volume_1/1_source_pages/page_150,1,5,6,0.0090
2026-06-20T05:00:14,Volume_1/1_source_pages/page_149,1,4,5,0.0075
2026-06-20T05:00:17,Volume_1/1_source_pages/page_147,1,8,9,0.0135
2026-06-20T05:00:17,Volume_1/1_source_pages/page_153,1,4,5,0.0075
